Column1	Column2
wa?a	283
ñalngu	282
safal?e	282
ladde	281
tomaa	281
janngo	280
kalifu	280
ngoon	280
mbo?o	279
woto	279
du?e	278
muritaninaa?e	278
won?e	277
hakkillaaji	276
anndi	275
kasoo	275
mee?aa	275
parti	275
hoodere	274
kalfinaa?o	274
sifaa	274
tuure	273
misra	272
tawtoreede	272
teemedde	272
ganndo	271
jogaade	271
tigi	271
mauritanie	269
rajo	267
wa?aa	267
fayi	266
ha	266
nehdi	266
gadano	265
?um?oo	264
tagi	263
yahde	263
juulde	262
?ur?o	261
hoohoo?e	261
huutoraade	261
jeegom	260
njiyaagu	260
waktu	260
jeewte	258
cette	257
jibinaa	257
mayri	257
suka	257
usmaan	257
mbiya	256
addi	255
jokki	255
o?on	254
bone	253
le??e	252
oto	252
?ellitaare	252
he?ii	251
iwdi	251
ndenndaandi	251
njeenaari	251
koolol	250
mu’en	250
siin	250
?oggee	249
bonannde	249
mbaawaa	249
gannde	248
kikii?e	248
size	248
faamde	247
gon?o	247
sabaabu	247
sankara	247
boom	246
?ur?e	246
ngati	246
wiya	246
ahmed	245
gollal	245
waktuuji	245
laamuuji	244
fu?naange	243
geno	243
jogori	242
ndee?oo	242
mee	240
ardii	239
galleeji	239
jabet	239
njillu	239
tooro	239
waalo	239
feccere	238
leegal	238
nguleeki	238
ummii	238
yamiroore	238
luulndo	236
maay?e	235
noogaas	235
wonti	235
alasan	234
faati	234
km	234
ñeeñal	234
njiimaandi	233
jokkondiral	232
hollitii	231
ngaynaaka	231
ngonaa	231
sawru	231
ut	231
?am	230
go’to	230
jamaanu	230
nous	230
se	230
aarabee?e	229
jojjan?e	229
fulfulde	228
jo?nde	228
nji?i	228
tuggude	228
?iyi	227
hakkeeji	227
arde	226
baal	226
noddi	226
sara	226
nana	225
tawde	225
kaa?e	224
nayi	224
scarpe	224
wondi	224
potal	223
sont	223
yiyde	223
aynaa?e	222
kaaldigal	222
burkina	221
go	221
haaloo?e	221
hilifaa?e	221
mawnude	221
farta??e	220
libi	220
makki	220
ngari	220
?alli	219
kodduwaar	219
kuule	219
waawa	219
abriil	218
nguun	217
duunde	216
kawgel	215
yiilirde	215
keso	214
cukalel	213
gaa	213
nanndi	213
fenaande	212
jee?i?i	212
mawngal	212
minen	212
nuun?al	212
di??al	211
weltaare	211
dooro	210
haayre	210
henndu	210
yalti	210
njeyaa	209
abdullaahi	208
naatde	208
sulyee	208
daa?e	207
?ee?oo	207
ellee	207
heddii?e	207
maali	207
kabaaru	206
nguura	206
nganndu?aa	205
gaboo	204
koloñaal	204
tuma	204
aljumaa	203
boowal	203
gey	203
rokkude	203
aadama	202
keeri	202
koolaa?o	202
lih	202
sahaaji	202
ka??e	201
koode	201
kaayitaaji	200
mba?ii	200
tagopeeje	200
baasal	199
kese	199
suwoyraat	199
wallitde	199
gabon	198
saawiyee	198
?er?e	197
damal	197
jkm	197
laa?e	197
mo??ere	197
faandaare	196
jaay?e	196
feebariyee	195
fotaani	195
seppo	195
son	195
ummoraade	195
dille	194
wa?noo	194
cuu?i	193
fannuuji	193
rewrude	193
tijjaani	193
warngo	193
wiyaa	193
fotnoo	192
nationales	192
?ii?oo	191
insiliin	191
oktoobar	191
wa?ti	191
gootol	190
ji??o	190
majji	190
sikke	189
wad	189
yu??inde	189
coñce	188
dillere	188
ge?al	188
hawri	188
ku?ol	188
nge	188
senegaalnaa?e	188
toow?o	188
arii	187
haaruuna	187
joo?ii	187
kawtal	187
kuudetaa	187
natal	187
wa?ata	187
?ooyi	186
?ur?i	186
in?e	186
noowammbar	186
you	186
bonde	185
falnde	185
gasa	185
jaagor?e	185
siwil	185
?i??e	184
ka?ko	184
moolii?e	184
gonnoo?o	183
mbuu?u	183
wuuri	183
yuusuf	183
?aleejo	182
guwarnama	182
