Column1	Column2
ngama	18
ngardini	18
ngenaar	18
ngolloo	18
ngollotoo	18
nguurnoo	18
ñifde	18
ñi?ooje	18
njaakiri	18
njahataa	18
njanngii	18
njegenaawe	18
njogoraani	18
njoo?inoongu	18
nju??inee	18
noire	18
nootitii?e	18
note	18
?ati	18
oxfam	18
paalel	18
paaspooruuji	18
pay?en	18
peri	18
persidaaji	18
potndi	18
potnoo?o	18
pu??i	18
pulaar-fulfulde	18
pulfule	18
renndina	18
retour	18
roboo	18
rokkirde	18
rpdm	18
rsp	18
saam	18
safi	18
sait	18
salee	18
salnde	18
satelit	18
satuurna	18
scholarships	18
seriñ	18
seule	18
sey?aneeji	18
signifie	18
sikkanoo	18
sili	18
simple	18
siñcu	18
sirluuji	18
slateafrique	18
sociale	18
sociétés	18
sofeer	18
souvent	18
sujet	18
sukkude	18
sunii	18
surga	18
taate	18
tabley	18
tafngo	18
tageefo	18
tard	18
tawe	18
tebbuuli	18
techniques	18
teddinde	18
teelal	18
teskaaki	18
teskee	18
teskinnde	18
them	18
tii??i	18
tii?ngal	18
timmoode	18
tinisii	18
to??egol	18
tokara	18
tokos?e	18
tolnooji	18
toowi	18
tottude	18
tour	18
tumarankaagal	18
tuumi	18
ubriyeeji	18
unité	18
voie	18
waalde	18
waasi	18
waawnere	18
warhooreeji	18
weddiima	18
weetndoogo	18
weltiima	18
weterineer	18
wetoo	18
wifi	18
wirnaa	18
wiyateende	18
wiyeteendu	18
wolofaa?e	18
woolum	18
wuraagu	18
wutteeji	18
yahnoo?e	18
yaltiri	18
yaltunde	18
yannge	18
yeewtitde	18
?ellitii?e	18
yo?ee	18
yo?eede	18
yoo?aade	18
yoolayru	18
adama	17
adiinde	17
aliiw	17
alluuje	17
almuu?e	17
amadu	17
ani	17
anndinii	17
anndiraande	17
artiraa	17
ayniin	17
baabiraa?o	17
ba?aa?o	17
ba?ngal	17
bakkaat	17
ballo	17
barmu?e	17
basiiru	17
bayyinde	17
beljik	17
bene	17
berwe	17
bettere	17
bid	17
binndu?o	17
biyeteengel	17
bona	17
bon?e	17
bonnii	17
bookum	17
?oo?e	17
?ooynoo	17
?urka	17
?urngu	17
caas?o	17
ceediima	17
ceeri	17
cenii?o	17
cfa	17
cifi?en	17
ciftorgol	17
cilon	17
cokki	17
cure	17
dagaade	17
dañaaka	17
dañ?e	17
demokaraasiire	17
den?iiko	17
dew?i	17
?eya	17
?i?on	17
diidi	17
?immol	17
dognoo?e	17
duwaade	17
ekwn	17
etii	17
faayodinnde	17
fad	17
fadaani	17
fanay	17
fanniyanke	17
fawee	17
fawoo	17
feewna	17
feññinde	17
fewjude	17
fiili	17
firooji	17
fotdeeji	17
fula	17
fulla	17
fuuta?kaagal	17
gardogol	17
gee?i	17
going	17
gonaa?o	17
gooleeje	17
gubbol	17
gucci	17
gude	17
haalana	17
haangaa?e	17
haawnaade	17
ha?a	17
habrirde	17
hande	17
hankati	17
hassan	17
hayso	17
he??e	17
heblanaade	17
he?too	17
heddanii	17
heddiinde	17
heediheeda	17
heedti	17
hettude	17
he?de	17
hino	17
holliraama	17
hoolaa?e	17
hoolaade	17
hoorii	17
hu??i	17
hu?indaade	17
hul?inde	17
huniima	17
iniwersitee	17
innaa	17
innirde	17
ittugol	17
jaawanndo	17
ja?gol	17
jalo	17
jankinii?o	17
jarabi	17
jarribaade	17
jaybaaji	17
jebbilaare	17
jeeyoowo	17
jeytoreede	17
jibinirgol	17
jiy?o	17
joomsuudu	17
joor?e	17
juumtu?e	17
juuta	17
kaggu	17
kanngu	17
kasdi	17
kawlak	17
kawraani	17
kawrital	17
kawriti	17
kayda	17
ke?iino	17
kecco	17
keeceeje	17
keefeero	17
kees	17
keññaa	17
kiin	17
kinaan	17
kollen	17
kollitaa	17
kumpa	17
laatotoo	17
latin	17
lelnugol	17
lewlewal	17
liggeey	17
liitaama	17
lommbii	17
loo?e	17
lutte	17
madaani	17
maison	17
majorité	17
mannde?	17
many	17
mbaasen	17
mballita	17
mbiy-?en	17
mbiyeteengu	17
mbonka	17
meeruuji	17
metta	17
millee	17
moo?ondire	17
moorol	17
mo??u?e	17
muusngal	17
naalankaagu	17
ñaaw	17
ñaaweede	17
naftude	17
nanngeede	17
nasiyonaalitee	17
naywii	17
ndaarde	17
ndefu	17
ndiiwi	17
ndin	17
need	17
ngartumi	17
ngeen	17
ngol-?oon	17
ngon-mi	17
ngoppee	17
nigeria	17
nja??i	17
njahata	17
njahdaani	17
njeeya	17
njejjiten	17
njiytaama	17
njomu	17
njoo?i	17
noddireede	17
otan	17
paamraten	17
paayndaale	17
paayodin?o	17
pandungal	17
pasifik	17
pellit?o	17
peral	17
pi?i	17
piyaa	17
politikaaji	17
politikyankoo?e	17
porfesoor	17
porlugol	17
potata	17
pot-?aa	17
reen	17
régions	17
renndinii	17
resndi	17
rokkaama	17
ronkude	17
rowrowre	17
saaktoo?e	17
saami	17
sa?tunde	17
salut	17
san?a	17
sanndarmee?e	17
sarkosii	17
sawaane	17
second	17
seedaama	17
sellataa	17
senndikaaji	17
senusi	17
seyna	17
siftori	17
siftorii	17
soofde	17
sori	17
sosii	17
sunu	17
taarotoo	17
tabiti	17
taccude	17
take	17
tami	17
tammbaa	17
task	17
tata?e	17
tawtoregol	17
ta?ata	17
teddiniraa	17
teddiniraa?o	17
tee?tu?o	17
tee?tunde	17
teeyre	17
telloo	17
tengella	17
texte	17
tillisaaji	17
timmu?e	17
timmungol	17
to??eede	17
togoo	17
to?	17
tottee	17
ubbaa	17
udditanii	17
ujunnaaji	17
ummorii?i	17
ummortoo	17
university	17
uujooji	17
waawni	17
wakannde	17
wanaa	17
wayniima	17
weddoo	17
weer	17
winndereere	17
wollo	17
wonki	17
wontani	17
wujjude	17
wutti	17
yaakoraa	17
yahataa	17
yankinaare	17
yawtunde	17
?eewdaama	17
yejjitaani	17
?etteede	17
yi?eede	17
yi?iino	17
yiide	17
yimiyankoo?e	17
yiyteede	17
yo?a	17
yoo?toreede	17
yu??ina	17
abbaade	16
abere	16
adanngo	16
adil	16
afrikyanke	16
aksuus	16
akuku	16
alhaali	16
allam	16
alyatimee?e	16
amoo?e	16
artunoo?e	16
asaaba	16
aybinde	16
baaji	16
?aas	16
badara	16
?aleeru	16
bammbara	16
banndiiko	16
baru	16
baynii?o	16
?ayre	16
bayyinaa	16
berger	16
berlin	16
?esgu	16
?esnooje	16
biyeeji	16
biyetee?i	16
bo?i	16
bojel	16
?ole	16
boneeji	16
booñi	16
buri	16
?uu??e	16
cadeele	16
cakka	16
caru	16
ceergal	16
ceernaajo	16
ceertugol	16
ciifi	16
coccorgal	16
cokaa	16
cu?agol	16
?aanii?o	16
?a??ira	16
dañ?o	16
dañe	16
danewol	16
deesaamburu	16
dee?nude	16
degré	16
dennge	16
dew?e	16
dilli	16
dowrowal	16
duleendu	16
duñi	16
duttagol	16
duubi	16
du??e	16
ehel	16
esti'eer	16
eto?on	16
etotoo	16
faamaa	16
faayde	16
fahd	16
femmes	16
fereeji	16
feto	16
finde	16
first	16
firtaare	16
foo?ondirde	16
foto	16
fu?ii	16
fuutiyyu	16
gaadanteeji	16
gallu	16
galoya	16
gaysiri	16
gofornama	16
golleera	16
gollondirde	16
goo?e	16
gooski	16
gudde	16
guli	16
haa?	16
haari	16
haayoo	16
ha?noo	16
hawngo	16
heptini	16
hinere	16
hippaa	16
holsere	16
hommes	16
hoora	16
hormii	16
hormo	16
huccande	16
huccitini	16
hul?iniinde	16
humaines	16
israel	16
ittaama	16
jaagorde	16
jaak	16
jaalaalo	16
ja?nude	16
jahdooje	16
jale	16
jaltu?o	16
jamyame	16
jan?o	16
janngiyankoo?e	16
jayba	16
jedid	16
jehreeji	16
jeytaa	16
jeyuuji	16
jiifa	16
jimi	16
jinnde	16
jiytugol	16
jokkor?e	16
joofata	16
jordans	16
juuldude	16
juuloowo	16
kaalen	16
kaawaa	16
kaa?el	16
kafe	16
kaliilu	16
kanngo	16
kañum'en	16
kanyum	16
kawra	16
ke?ataa	16
ke?oo	16
khuuna	16
ko?ungu	16
koldaa	16
kominaaji	16
konan	16
koolondiral	16
kopenhag	16
kuu?todin?o	16
kuutondiral	16
laa?taani	16
laakon	16
laalagal	16
laje	16
landa	16
lella	16
lesdi	16
libreville	16
lieu	16
liggiima	16
liggotoo?o	16
liksaar	16
limo?	16
linngeer	16
london	16
lorde	16
maamaaje	16
maantinii	16
maayata	16
macungaagal	16
maheede	16
majja	16
make	16
maqaama	16
maroc	16
mawnii	16
mawnina	16
mba?atmi	16
mba??aa	16
mba?tumi	16
mbee?aani	16
mbinndaa	16
mbiymoomi	16
mbiynoo	16
mboddi	16
mbo?eewu	16
mbon?am	16
mboni	16
mbonnii	16
mbummba	16
mburu	16
memataa	16
mêmes	16
memi	16
misira	16
mkwm	16
mobel	16
mo?de	16
moongel	16
much	16
mukke	16
muridiyankoo?e	16
music	16
muuynangal	16
mythique	16
ñaan	16
naattii	16
nanaama	16
nan?e	16
nattata	16
nattugol	16
nawata	16
nawtude	16
nawtugol	16
ndenndini	16
ndewaagu	16
ndiidorinoo	16
ndogii	16
ndutto?en	16
nee?aani	16
nehi	16
nelaa?e	16
ngaameela	16
nganndii	16
ngel?oo	16
ngoppen	16
ngulla	16
ñi?a	16
njannga	16
njanngen	16
njanti	16
njejjit	16
njillondiri	16
njiy?en	16
njiyloo	16
njiytii	16
njoftiigu	16
njokkii	16
njool'am	16
nju??inaama	16
nju??undi	16
njuuli	16
nokkuure	16
nyalnde	16
œuvre	16
oolo	16
paa?i	16
paamon	16
paaspoor	16
pattamlame	16
payti	16
peeñ?i	16
petorol	16
petti	16
poolel	16
portaabal	16
posone	16
pu??i?en	16
pu??oo	16
puuy?o	16
raa?ani	16
ranvec	16
rassemblement	16
replica	16
rinnjaw	16
roni	16
room	16
ruwanndaa	16
saabotoo	16
saed	16
safraade	16
saint	16
salliginoo	16
satigee?e	16
scientifique	16
se??itii?e	16
sécurité	16
seedtoo	16
seeka	16
seereer	16
sellin	16
semmbeeji	16
settammbar	16
seydu	16
shipping	16
sikkata	16
siñtu	16
sippoo?e	16
siriñ	16
sirme	16
sokaa?e	16
sokoto	16
solidarité	16
somaali	16
structures	16
sukku?e	16
suma	16
tabo	16
taccingol	16
tag?o	16
talkuru	16
tampinde	16
tataaji	16
tawaa?e	16
tawtoyi	16
ta?	16
ta?ti	16
teey?o	16
tekruur	16
tellini	16
teppe	16
tigguuji	16
tigilde	16
tiin	16
to??itaa	16
traditionnelles	16
twitter	16
udditirgol	16
valeur	16
vallée	16
verbe	16
victimes	16
waad	16
waajoo	16
waasataa	16
wa?aaka	16
wa?aneede	16
wa?dii	16
wa?ireede	16
wa?taama	16
wallifaade	16
wallitii	16
welii	16
welnde	16
wi'de	16
wi'i	16
winndeede	16
winndu	16
wirni	16
wiro	16
wonngo	16
woodaano	16
woppitaa	16
wostondirde	16
wo?aaka	16
wuddere	16
wullaango	16
wullude	16
wutta	16
yaafaade	16
yaaja	16
yaalam	16
ya??ii	16
yahaani	16
yahratnoo	16
yaltirde	16
?eewtaade	16
yi?iri	16
yiytaama	16
yiytoo	16
yo?ata	16
yontaani	16
yoori	16
yu??innoo	16
aa?noo	15
aadoraande	15
abbo	15
abdou	15
abdoul	15
abord	15
adaraar	15
afirikiworgo	15
alfuutiyu	15
alhuseynu	15
aliin	15
alliyanke	15
almamaagal	15
añande	15
anndanooka	15
anndiraa?e	15
anngolaa	15
ardata	15
ardini	15
atumaani	15
baan	15
baasi	15
ba?le	15
baggol	15
bakkaaloriyaa	15
balabe	15
bayraa?i	15
bayyingol	15
belaa?e	15
bempe??e	15
?enndi	15
?ennungu	15
?esnguuli	15
bill	15
bisaaw	15
bisimilla	15
bitikaaji	15
?itti	15
bo?ewol	15
bolle	15
bukari	15
bulkayri	15
?urnaa?o	15
butelaaji	15
butelesi	15
buuba	15
?uu?an	15
caabii	15
caalli	15
ca?tu?e	15
cakkitiingal	15
calti	15
camp	15
ceerta	15
ceppii	15
cifaa?e	15
coomi	15
cu?o	15
curi	15
dakkurii	15
?amininoo	15
?annii?e	15
darni	15
daro	15
dawa	15
dawde	15
?e?ii	15
deental	15
degal	15
den?i	15
?i?a?uru	15
diisnetee?o	15
diraa	15
diwtude	15
down	15
duppude	15
économique	15
ejipte	15
faa?eende	15
faayidaaji	15
fadde	15
famminde	15
faraa	15
faro	15
fawaaki	15
feccitaade	15
feeña	15
feeñata	15
feeñnini	15
feetere	15
fiilii	15
filñitere	15
fiyoo?e	15
follaa	15
folli	15
foo?a	15
fot	15
fotndude	15
fottude	15
fu??orde	15
gaadoraa?e	15
gababe	15
gabcel	15
gabi	15
gah	15
?aida	15
gajaa?e	15
garwaniije	15
gerew	15
gilli	15
gitaar	15
go??u?o	15
gollir?e	15
gonnoo?i	15
goongaaji	15
goori	15
gorkaajo	15
gummii?o	15
haandude	15
haawaani	15
hakkundeewal	15
hamed	15
harbiyankoo?e	15
harmi	15
harmini	15
hassaniyya	15
hattani	15
he?tineede	15
heddotoo	15
he?o	15
heedii	15
heedii?e	15
heerii?e	15
hisa	15
hocci	15
hoddu	15
ho?du	15
hokku	15
holko	15
hollira	15
humpaaka	15
humpitii?e	15
huurnde	15
iraknaajo	15
islam	15
jaabira	15
jaal?ii	15
jaalo	15
ja?aa	15
janvier	15
japo?	15
jeewo	15
jeyaande	15
jey-leydi	15
jiimaandi	15
jippinaa	15
jiytal	15
jogornde	15
jogoro	15
jokkoode	15
jonaa?o	15
jon?i	15
joofnde	15
jool	15
jotondir?e	15
kaalir?e	15
kaas	15
kabinee	15
kaddungal	15
kamronlabscom	15
kannje	15
katantaagal	15
kawi	15
kayru	15
ke??o	15
ke?mi	15
ke?tii	15
kew?i	15
ki??al	15
kimmu?e	15
know	15
koytaa	15
kufne	15
kul?inii?o	15
laa?tungo	15
laaden	15
laaminoo	15
laamo	15
laamotoo	15
laaw?inaa	15
laawi	15
laygol	15
layya	15
leliima	15
lempoo	15
ligue	15
limde	15
limre	15
limta	15
loin	15
lollinde	15
look	15
lorla	15
lumumbaa	15
maafoondu	15
mahammadu	15
mahgol	15
mahoo?e	15
maîtrise	15
masaalahaa	15
mbaasi	15
mba?mi	15
mbara	15
mbeddii	15
mbelaama	15
mbiyataa	15
mbiyno?en	15
mbiyruno?en	15
mbotto	15
mbuun	15
mcm	15
mee?noo?e	15
meeteruuji	15
ministère	15
mis	15
mogo	15
moomde	15
mulberry	15
muntaqaa	15
musi??e	15
ñaamaani	15
ñaantule	15
nanngam	15
nawdude	15
nda?aani	15
ndartii	15
ndillee	15
ndoolon	15
ñeeñ?e	15
nelal	15
n'est	15
ngaadanteeri	15
ngabbon	15
ngaddori	15
ngala	15
ngariino	15
ngay	15
ngeel	15
ngonii	15
ngutti	15
niang	15
ñifa	15
niseriyaa	15
njafaan	15
njeewta	15
njeewtidii	15
njetti	15
njonngu	15
njoofi	15
njorol	15
njowitii	15
noms	15
ñootde	15
nootoo	15
noowaamburu	15
nuwasoot	15
?eesde	15
ondimmbaa	15
oodeeji	15
paamirton	15
pamaro	15
pam?i	15
peccii	15
peeñii	15
penndi?am	15
po??i	15
raatib	15
raisons	15
rapports	15
reenata	15
reento	15
réhabilitation	15
rénovateur	15
respect	15
reste	15
rewnaa	15
riiwi	15
rim?ii	15
ro?indo	15
ro?kii	15
rose	15
saas?e	15
sahabaa?e	15
said	15
sakkoo	15
samme	15
santé	15
sa?kiima	15
sasa	15
seedaade	15
seedeeji	15
seedtii	15
seertii	15
sele?	15
septembre	15
sersaa	15
seyn	15
sharon	15
siècle	15
sikkeede	15
siriif	15
sites	15
sonndu	15
sosiyeteeji	15
suivantes	15
sukaabe	15
suley	15
sumde	15
suu?aade	15
suu?aaki	15
suu?nde	15
taa?e	15
taan	15
taaree	15
taccinaa	15
takkii?e	15
tampude	15
tañnjaa	15
tappir?e	15
tarde	15
taw?en	15
tawtii	15
tawtoranoo	15
tawtoree	15
ta?ee	15
ta?tinanoo?e	15
teddinaa	15
tengaade	15
teppi	15
teyii	15
those	15
tikkere	15
timmini	15
tintinde	15
tiris	15
tooñaa?e	15
toro	15
tukuloor	15
tumaranke	15
type	15
uddooji	15
ummaniima	15
video	15
voir	15
vont	15
wa??iinde	15
waraama	15
waroo?e	15
waylowaylo	15
welaaka	15
welsindaade	15
wilaaya	15
winndande	15
winndiyankoo?e	15
wiye	15
wocci	15
wojere	15
wonana	15
wono	15
wontanii	15
woodaa	15
woya	15
wo?de	15
woyi	15
yaafo	15
?aa?an	15
yahat	15
yahiino	15
yamiraaka	15
yamyamre	15
yantini	15
yargo	15
yeeyi	15
yer?ii	15
yetto	15
yi?a	15
yi?noode	15
yiilde	15
yillotoo?e	15
yonaani	15
yoo?toraa	15
yupporde	15
aari	14
aaud	14
abdullay	14
abijaa	14
abiril	14
addaa	14
addaani	14
adg	14
adi	14
ahaa	14
almaa	14
amara	14
anndinoore	14
anndunoo	14
arani'en	14
ardoo	14
ardotoo?e	14
asi	14
awiriil	14
baabooy	14
baafe	14
?aarorde	14
baby	14
bagi	14
?allii	14
banaana	14
bande	14
banngagol	14
barondiral	14
batirde	14
bel	14
?eydata	14
?eydotoo	14
?iyleydiyaagal	14
bonande	14
?owde	14
?urta	14
caaroy	14
caataa	14
caati	14
ceeraagu	14
cente	14
ciifondirii	14
cikkata	14
cinkal	14
coklaani	14
coktirgal	14
cowti	14
cukki	14
daartiyanke	14
daasaa	14
dahngo	14
dañir?e	14
dartingol	14
defterdu	14
demngal	14
dennde	14
denndinngal	14
?i?a?u	14
dillinde	14
dipitee	14
?ooftaaki	14
dooki	14
dote	14
during	14
duudu	14
e??ooje	14
egipti	14
élément	14
ella	14
emery	14
états	14
faatiya	14
fagguduyankoore	14
fam?ii	14
far	14
fayndu	14
fellit?e	14
feri	14
festival	14
fetelaaji	14
fiilngo	14
find	14
finii	14
fisik	14
fiyii	14
fndu	14
fodi	14
fu??inooma	14
fu??inii	14
fuuta-tooro	14
gaana	14
gaboonaa?e	14
gaboonaajo	14
gaddu?o	14
gaggaaji	14
galaksi	14
gana	14
garaam	14
gawoowo	14
geddude	14
gerngal	14
gidaala	14
gmailcom	14
go?ngel	14
gol	14
golf	14
gollortoo	14
goomuyel	14
gorle	14
ha?eede	14
hakkundeeje	14
hamaas	14
han	14
hawrata	14
he?aaka	14
hebbinaama	14
heblaa	14
heblaa?e	14
hebleede	14
hedditii	14
heedande	14
heeroraade	14
heewngo	14
heewreede	14
hektaar	14
helaa	14
heptinii	14
hoolaaki	14
hoyraagu	14
huccitde	14
hulataa	14
hul?inii	14
huninooma	14
innireede	14
issus	14
jaa?e	14
jaaboo	14
jaawngol	14
jaa?nde	14
jabatee	14
jabbaaji	14
ja??o	14
jahdu?e	14
jaka	14
jala	14
jamfii	14
jammbe	14
jammel	14
jamyamo	14
janani	14
jannginta	14
janngirde	14
janta?	14
jari	14
jawdii	14
jeego?iijo	14
jeu	14
jeyre	14
jibinaaka	14
jihaadiyankoo?e	14
jii?aade	14
jiimaa?e	14
jinngere	14
joginoo?o	14
jokkol	14
jokkoowo	14
jola	14
jol?e	14
joo??i	14
joo?ngal	14
joo?tiima	14
jordaani	14
jours	14
juulii	14
juumtu?o	14
juumtugol	14
kaalaa	14
kaalataa	14
ka??i	14
kanseer	14
kañumen	14
kappan?e	14
karabaan	14
karlaa?i	14
kaydamaa	14
k?l	14
keed?o	14
keesuuji	14
ketton	14
kii?e	14
ko?di	14
ko?li	14
kolangal	14
kongol	14
konngonaa?e	14
koor	14
koowooje	14
koreera	14
laa??e	14
laalaa?e	14
laaw?ingol	14
lalla	14
lasi	14
lee?ol	14
leliindu	14
liggotoo	14
limtilimtin?e	14
lollini	14
lomlomtondiral	14
lomtini	14
luggere	14
luggi	14
lummbaade	14
lumumba	14
luunndiyanke	14
maay?eele	14
maha	14
mande	14
mandi?koo?e	14
mariage	14
matières	14
mbaara	14
mbakkii	14
mballitii	14
mbaylu	14
mbela	14
mbido	14
mbinndii	14
mbiruuji	14
mehru	14
membre	14
mer	14
meri	14
mido	14
milio?	14
mir	14
misik	14
mo?a	14
momtugol	14
moolanaa?o	14
moolee	14
morphème	14
morphologique	14
morsi	14
mosammbik	14
mo??itinde	14
muammaar	14
muhamed	14
muulngo	14
muum	14
muus?i	14
ñaamataa	14
naamnaa	14
naamndaaki	14
naat?en	14
naatnaa	14
ñamminde	14
naneede	14
nanngal	14
nationalité	14
naw	14
ñawii	14
ndaaree	14
ndaari	14
ndaneewa	14
ndartaaki	14
ndeena	14
ndeeni	14
ndental	14
ndewni	14
ndeya	14
ndokkata	14
ndokken	14
ñeeñe	14
ngaawandere	14
nganndu?a	14
ngar?aa	14
ngartiri	14
ngasataa	14
ngattu	14
ngon?o	14
ngoppaa	14
ngummee	14
ñippude	14
njahaani	14
njaltina	14
njanngaani	14
njanngi	14
njaram	14
njiydi	14
njiyiino	14
njoganii	14
njoofni	14
noddee	14
norwees	14
nuun?u?e	14
nuwaadiibu	14
?abbude	14
?akkude	14
?aro	14
?eesagol	14
?ore	14
oolol	14
oolooolooga	14
ooroori	14
paa?aa	14
paamataa	14
paayodin?i	14
paayodinngal	14
paddor?e	14
pale	14
palestiinnaa?e	14
pamari	14
pay?o	14
pecci	14
peccol	14
peeñ?e	14
persidaas	14
pettoowo	14
piilaa?o	14
polisee	14
politikyankeewo	14
pom	14
porofosoor	14
portaabe	14
potalyankooje	14
potngu	14
potnoo?i	14
puri	14
rawda	14
referaandoom	14
relations	14
rencontre	14
retro	14
rewaama	14
reweede	14
riiwaa	14
rts	14
ruggooji	14
saaktaa	14
saali	14
sabii	14
salaatul	14
san	14
sarii	14
satelitaaji	14
sein	14
sewaare	14
shingiti	14
sidi	14
sifiima	14
silaama	14
simon	14
singulier	14
sinsinnati	14
siwis	14
sociaux	14
soient	14
soki	14
soklude	14
sosngo	14
start	14
state	14
style	14
su?iima	14
sul?eewa	14
suusde	14
tammboo	14
tamnaa	14
tañjaa	14
tawaa?o	14
ta?ngo	14
ta?ondiral	14
teel?u?o	14
tee?tungal	14
teeruuji	14
teskin?e	14
thin	14
tii?naade	14
tii?tingol	14
tiimi	14
times	14
tino	14
to??otoo	14
tonngaa	14
tottii	14
to??i	14
tribus	14
tuugaaki	14
tuugii?i	14
tuumde	14
udda	14
udditani	14
ummi	14
ummii?e	14
umminoo	14
urss	14
ustoo	14
utile	14
veut	14
voire	14
waalaare	14
waaldi	14
wa?aango	14
wa?irde	14
walter	14
wanngotoo?e	14
want	14
wardaa	14
warga	14
wasre	14
wattindi	14
waylooji	14
welamma	14
welni	14
wicensa	14
wirtii	14
wo??e	14
woondii	14
wowru	14
wo?i	14
yaajnude	14
yaama	14
yaawii	14
yaawnde	14
yagal	14
?amde	14
yarga	14
?attooje	14
yaw	14
yeebaade	14
?eewndooji	14
yejjittaake	14
yettin	14
yettotaako	14
yewtere	14
yi?	14
yi?ande	14
?iiwoole	14
yiyaaka	14
?iyal	14
yoolde	14
?o??o	14
aade	13
aamnaade	13
aamnotaako	13
aarabeere	13
aasma	13
abbitii	13
abeydarahmaan	13
abiyo?	13
abiyo?aaji	13
a?e	13
afiriki	13
aftuut	13
alain	13
alamaan	13
albom	13
amde	13
amdu	13
ande	13
angal	13
anne	13
ansaar	13
août	13
aram	13
arditii	13
arooru	13
atlantiik	13
atomik	13
ayda	13
baaye	13
?amtaade	13
?amtoore	13
barme	13
batiri	13
battindii?i	13
?ee?ataa	13
before	13
best	13
?ikkon	13
bilingue	13
binnde	13
binndugol	13
?inngu	13
biritaan	13
bismaa?e	13
bismilla	13
bitik	13
?oggel	13
bonaani	13
bonnoo?e	13
booy	13
boyliil	13
buddahaa	13
?ulnaade	13
burkinaanaa?e	13
?urnoo?e	13
?urtu?o	13
bush	13
buy	13
caf	13
calmini	13
caloo	13
ceedtiima	13
ceeren	13
cerindii?i	13
cifortoo	13
ciimti	13
cuusi	13
?aaniima	13
daartiyankoo?e	13
daartude	13
daasi	13
daawuda	13
?a??unoo	13
dafaa?o	13
dagiinde	13
dagnude	13
dantitee	13
daraaki	13
daraninoo	13
darfuur	13
dartini	13
dartoo	13
dartotaako	13
?awde	13
deegool	13
dee?i	13
degere	13
demisoni	13
departemaa	13
?i?a?al	13
dillude	13
dimaa?i	13
dime	13
docotte	13
dognugol	13
dogoowo	13
donne	13
doolnu?e	13
doombi	13
dowlude	13
dubuuje	13
duppugol	13
durant	13
duttal	13
duumingal	13
e??i	13
économiques	13
e?am	13
eeriima	13
eggaho?aa?e	13
egginde	13
enndu	13
étrangers	13
faalaa	13
faamnii	13
faamondirde	13
fawti	13
fecceede	13
fel?ondirde	13
firta	13
fiyaani	13
flamnet	13
fodani	13
fooftaade	13
fotnoonde	13
fpi	13
fu?irta	13
futuru	13
gaawi	13
gaddii	13
ganndiwe	13
gasaani	13
gas?e	13
gateway	13
gaweeje	13
gee?e	13
gerenaaduuji	13
?iimee	13
gile	13
gollata	13
gollinde	13
good?e	13
goodgol	13
goong?inii	13
goppugol	13
gori	13
gostondire	13
guwernoor	13
haajara	13
haarna	13
haasideeji	13
ha?aama	13
ha?antoo?e	13
ha?ee	13
hamani	13
harvard	13
hattanaani	13
hawraani	13
hawritde	13
hebli	13
he?ortoo	13
he?ta	13
he??aawo	13
helene	13
heli	13
hellifaa?e	13
henri	13
hersinii	13
hesuru	13
hii?aa?e	13
hiisaaji	13
hiisii	13
hitler	13
ho?noo	13
hokkaama	13
holannda	13
hollitaama	13
hoore-biir	13
huftodinnde	13
hugo	13
huleede	13
human	13
huray	13
huu?todinnde	13
huutoraama	13
iih	13
iselmu	13
islaamiyankoore	13
issue	13
isufuu	13
ittata	13
jaambuur	13
jaawngal	13
jahgol	13
jaltinoowo	13
janngatnoo?e	13
janngee	13
jannjooli	13
jasporaa	13
jemma	13
jenndere	13
jettagol	13
jey?e	13
ji?ondiral	13
jirwinoowo	13
jolfo	13
jolti	13
jommbot	13
joo?tii	13
joofniri	13
jooltugol	13
joom’en	13
joomwuro	13
joor?o	13
ju??inoowo	13
jubbol	13
juumii	13
juuragol	13
kaalee	13
kaalmi	13
kaananke	13
kaandaani	13
kaantare	13
kaawisi	13
ka?a	13
kabri	13
kayne	13
ke?aa	13
ke?aa?i	13
kilifa	13
kocce	13
kollitooji	13
koni?koo?e	13
koomte	13
kooree	13
kor?o	13
korsini	13
ku?todin?o	13
kuftodin?e	13
kumal	13
kuufi	13
kuur?o	13
kuuse	13
kuutoriima	13
laa?eede	13
laa?nde	13
laa?ta	13
laafa	13
laamateeri	13
laaminoo?o	13
laamorde	13
laamtooro	13
laay	13
labangal	13
laddeeji	13
lekkon	13
lelaade	13
leli	13
leñamleñamaagu	13
leon	13
li?aa	13
liban	13
liberiyaa	13
liggodaade	13
linux	13
liyetenaa	13
logiciels	13
loskooji	13
lumière	13
luukaali	13
luulndagol	13
maay	13
made	13
magge	13
mahateeri	13
major	13
malaa	13
mammaa	13
masloo?e	13
masloowu	13
mbaawmi	13
mba?e	13
mballata	13
mbare	13
mbelaaka	13
mbel?am	13
mbi	13
media	13
mennde?	13
miiti?	13
mjk	13
mobbooji	13
mobbooru	13
moolanaande	13
moulaye	13
mp3	13
muk	13
muñ?o	13
muritaninaare	13
murtooji	13
musidal	13
muti	13
muumo	13
ñaaku	13
naatataa	13
naatnee	13
naftoreede	13
ñaldi	13
nanata	13
nannda	13
nanngii	13
nasiyonaal	13
nature	13
nawliigu	13
naworaani	13
ndawi	13
ndiiwgu	13
ndonku	13
neha	13
nehii	13
nganno	13
ngardiindi	13
ngoonga	13
njaatigee?e	13
njahen	13
njaltin	13
njanii	13
njanngata	13
njantii	13
njeyaandi	13
nji?aano	13
nji?-mi	13
njiydaa	13
njogor?en	13
njoldi	13
